target_return,return,variance,std_dev,n_held,iterations,osqp_time_ms,wall_time_ms,status,refined
0.0023653252,0.0023653252,1.9849352414e-04,0.0140887730,30,25,1.7129,1.8096,solved,0
0.0023682479,0.0023682479,1.9849361020e-04,0.0140887760,30,25,1.3479,1.4295,solved,0
0.0023711715,0.0023711715,1.9849386621e-04,0.0140887851,30,25,1.3481,1.4256,solved,0
0.0023740943,0.0023740943,1.9849429202e-04,0.0140888002,30,25,1.3429,1.4181,solved,0
0.0023770177,0.0023770177,1.9849488781e-04,0.0140888214,30,25,1.3950,1.5177,solved,0
0.0023799407,0.0023799407,1.9849565340e-04,0.0140888485,30,25,1.4272,1.5587,solved,0
0.0023828640,0.0023828640,1.9849658897e-04,0.0140888818,30,25,1.3618,1.4495,solved,0
0.0023857869,0.0023857869,1.9849769428e-04,0.0140889210,30,25,1.3422,1.4201,solved,0
0.0023887104,0.0023887104,1.9849896973e-04,0.0140889662,30,25,1.3300,1.4027,solved,0
0.0023916335,0.0023916335,1.9850041490e-04,0.0140890175,30,25,1.3350,1.4099,solved,0
0.0023945568,0.0023945568,1.9850203007e-04,0.0140890748,30,25,1.3557,1.4338,solved,0
0.0023974796,0.0023974796,1.9850381482e-04,0.0140891382,30,25,1.3357,1.4110,solved,0
0.0024004029,0.0024004029,1.9850576674e-04,0.0140892075,31,25,1.3419,1.4177,solved,0
0.0024033262,0.0024033262,1.9850787841e-04,0.0140892824,31,25,1.3355,1.4114,solved,0
0.0024062493,0.0024062493,1.9851014912e-04,0.0140893630,32,25,1.3450,1.4209,solved,0
0.0024091722,0.0024091722,1.9851257263e-04,0.0140894490,33,25,1.4742,1.6416,solved,0
0.0024120953,0.0024120953,1.9851514599e-04,0.0140895403,33,25,1.3787,1.5152,solved,0
0.0024150188,0.0024150188,1.9851786910e-04,0.0140896369,33,25,1.3834,1.5028,solved,0
0.0024179420,0.0024179420,1.9852074133e-04,0.0140897389,33,25,1.3434,1.4433,solved,0
0.0024208652,0.0024208652,1.9852376294e-04,0.0140898461,33,25,1.3336,1.4099,solved,0
0.0024237881,0.0024237881,1.9852693361e-04,0.0140899586,33,25,1.3247,1.3960,solved,0
0.0024267113,0.0024267113,1.9853025397e-04,0.0140900764,33,25,1.3787,1.4545,solved,0
0.0024296346,0.0024296346,1.9853372385e-04,0.0140901996,33,25,1.3305,1.4049,solved,0
0.0024325577,0.0024325577,1.9853734287e-04,0.0140903280,33,25,1.3113,1.3817,solved,0
0.0024354807,0.0024354807,1.9854111114e-04,0.0140904617,33,25,1.3239,1.3945,solved,0
0.0024384039,0.0024384039,1.9854502904e-04,0.0140906007,33,25,1.3249,1.3971,solved,0
0.0024413269,0.0024413269,1.9854909605e-04,0.0140907450,33,25,1.4045,1.5135,solved,0
0.0024442501,0.0024442501,1.9855331272e-04,0.0140908947,33,25,1.3396,1.4344,solved,0
0.0024471730,0.0024471730,1.9855767831e-04,0.0140910496,33,25,1.3382,1.4117,solved,0
0.0024500966,0.0024500966,1.9856219436e-04,0.0140912098,33,25,1.3233,1.3954,solved,0
0.0024530198,0.0024530198,1.9856685919e-04,0.0140913753,33,25,1.3125,1.3829,solved,0
0.0024559429,0.0024559429,1.9857167324e-04,0.0140915462,33,25,1.3446,1.4183,solved,0
0.0024588658,0.0024588658,1.9857663632e-04,0.0140917223,34,25,1.3307,1.4032,solved,0
0.0024617888,0.0024617888,1.9858174471e-04,0.0140919035,34,25,1.3466,1.4223,solved,0
0.0024647122,0.0024647122,1.9858699534e-04,0.0140920898,34,25,1.3211,1.3918,solved,0
0.0024676356,0.0024676356,1.9859238750e-04,0.0140922811,34,25,1.3450,1.4152,solved,0
0.0024705584,0.0024705584,1.9859792005e-04,0.0140924774,34,25,1.3337,1.4158,solved,0
0.0024734816,0.0024734816,1.9860359487e-04,0.0140926788,34,25,1.3215,1.4172,solved,0
0.0024764050,0.0024764050,1.9860941161e-04,0.0140928851,34,25,1.3210,1.3960,solved,0
0.0024793282,0.0024793282,1.9861536948e-04,0.0140930965,34,25,1.3290,1.3994,solved,0
0.0024822515,0.0024822515,1.9862146908e-04,0.0140933129,34,25,1.3263,1.3989,solved,0
0.0024851746,0.0024851746,1.9862770978e-04,0.0140935343,34,25,1.3185,1.4441,solved,0
0.0024880977,0.0024880977,1.9863409199e-04,0.0140937607,34,25,1.3275,1.4008,solved,0
0.0024910209,0.0024910209,1.9864061593e-04,0.0140939922,34,25,1.3211,1.3917,solved,0
0.0024939442,0.0024939442,1.9864728163e-04,0.0140942287,34,25,1.3400,1.4111,solved,0
0.0024968671,0.0024968671,1.9865408791e-04,0.0140944701,34,25,1.3107,1.3806,solved,0
0.0024997904,0.0024997904,1.9866103664e-04,0.0140947166,34,25,1.3239,1.3956,solved,0
0.0025027137,0.0025027137,1.9866812691e-04,0.0140949681,34,25,1.4461,1.6469,solved,0
0.0025056368,0.0025056368,1.9867535820e-04,0.0140952247,34,25,1.6638,1.8739,solved,0
