target_return,return,variance,std_dev,n_held,iterations,osqp_time_ms,wall_time_ms,status,refined
0.0027843363,0.0027843780,6.4225721262e-04,0.0253427941,10,25,0.2800,0.3801,solved,0
0.0027883784,0.0027883784,6.4225763154e-04,0.0253428024,10,25,0.2590,0.3324,solved,0
0.0027924202,0.0027924202,6.4225890570e-04,0.0253428275,10,25,0.2473,0.3162,solved,0
0.0027964626,0.0027964626,6.4226103551e-04,0.0253428695,10,25,0.2455,0.3160,solved,0
0.0028005045,0.0028005045,6.4226402042e-04,0.0253429284,10,25,0.2593,0.3284,solved,0
0.0028045466,0.0028045466,6.4226786086e-04,0.0253430042,10,25,0.2391,0.3071,solved,0
0.0028085887,0.0028085887,6.4227255670e-04,0.0253430968,10,25,0.2403,0.3062,solved,0
0.0028126307,0.0028126307,6.4227810780e-04,0.0253432063,10,25,0.2382,0.3108,solved,0
0.0028166726,0.0028166726,6.4228451408e-04,0.0253433327,10,25,0.2372,0.3032,solved,0
0.0028207147,0.0028207147,6.4229177605e-04,0.0253434760,10,25,0.2379,0.3026,solved,0
0.0028247567,0.0028247567,6.4229989322e-04,0.0253436361,10,25,0.2506,0.3234,solved,0
0.0028287991,0.0028287991,6.4230886111e-04,0.0253438131,11,25,0.2432,0.3111,solved,0
0.0028328412,0.0028328412,6.4231858617e-04,0.0253440049,11,25,0.2410,0.3065,solved,0
0.0028368832,0.0028368832,6.4232903615e-04,0.0253442111,11,25,0.2379,0.3100,solved,0
0.0028409257,0.0028409257,6.4234021272e-04,0.0253444316,11,25,0.2443,0.3455,solved,0
0.0028449677,0.0028449677,6.4235211311e-04,0.0253446664,11,25,0.2398,0.3148,solved,0
0.0028490102,0.0028490102,6.4236474025e-04,0.0253449155,11,25,0.2575,0.3375,solved,0
0.0028530521,0.0028530521,6.4237809070e-04,0.0253451788,11,25,0.2407,0.3078,solved,0
0.0028570946,0.0028570946,6.4239216368e-04,0.0253454565,12,25,0.2419,0.3103,solved,0
0.0028611366,0.0028611366,6.4240681831e-04,0.0253457456,12,25,0.2354,0.3012,solved,0
0.0028651788,0.0028651788,6.4242199388e-04,0.0253460449,12,25,0.2355,0.2993,solved,0
0.0028692214,0.0028692214,6.4243769125e-04,0.0253463546,12,25,0.2405,0.3045,solved,0
0.0028732634,0.0028732634,6.4245390651e-04,0.0253466745,12,25,0.2378,0.3184,solved,0
0.0028773056,0.0028773056,6.4247064279e-04,0.0253470046,12,25,0.2350,0.3009,solved,0
0.0028813479,0.0028813479,6.4248789972e-04,0.0253473450,12,25,0.2342,0.2987,solved,0
0.0028853901,0.0028853901,6.4250567646e-04,0.0253476957,12,25,0.2382,0.3123,solved,0
0.0028894324,0.0028894324,6.4252397388e-04,0.0253480566,12,25,0.2355,0.3005,solved,0
0.0028934745,0.0028934745,6.4254279061e-04,0.0253484278,12,25,0.2347,0.2984,solved,0
0.0028975170,0.0028975170,6.4256212949e-04,0.0253488092,12,25,0.2486,0.3148,solved,0
0.0029015590,0.0029015590,6.4258198617e-04,0.0253492009,12,25,0.2332,0.2992,solved,0
0.0029056013,0.0029056013,6.4260236456e-04,0.0253496028,12,25,0.2382,0.3033,solved,0
0.0029096436,0.0029096436,6.4262326321e-04,0.0253500151,12,25,0.2371,0.3023,solved,0
0.0029136859,0.0029136859,6.4264468210e-04,0.0253504375,12,25,0.2368,0.3018,solved,0
0.0029177281,0.0029177281,6.4266662070e-04,0.0253508702,12,25,0.2388,0.3030,solved,0
0.0029217701,0.0029217701,6.4268907840e-04,0.0253513131,12,25,0.2471,0.3129,solved,0
0.0029258127,0.0029258127,6.4271205973e-04,0.0253517664,12,25,0.2343,0.3003,solved,0
0.0029298549,0.0029298549,6.4273555903e-04,0.0253522299,12,25,0.2359,0.3028,solved,0
0.0029338969,0.0029338969,6.4275957736e-04,0.0253527036,12,25,0.2477,0.3218,solved,0
0.0029379392,0.0029379392,6.4278411770e-04,0.0253531875,12,25,0.2368,0.3109,solved,0
0.0029419814,0.0029419814,6.4280917767e-04,0.0253536817,12,25,0.2343,0.2997,solved,0
0.0029460237,0.0029460237,6.4283475850e-04,0.0253541862,12,25,0.2497,0.3202,solved,0
0.0029500660,0.0029500660,6.4286085958e-04,0.0253547009,12,25,0.2361,0.3018,solved,0
0.0029541080,0.0029541080,6.4288747892e-04,0.0253552259,12,25,0.2376,0.3015,solved,0
0.0029581505,0.0029581505,6.4291462183e-04,0.0253557611,12,25,0.2358,0.3012,solved,0
0.0029621927,0.0029621927,6.4294228297e-04,0.0253563066,12,25,0.2360,0.3007,solved,0
0.0029662349,0.0029662349,6.4297046433e-04,0.0253568623,12,25,0.2345,0.2980,solved,0
0.0029702775,0.0029702775,6.4299916878e-04,0.0253574283,12,25,0.2535,0.3195,solved,0
0.0029743194,0.0029743194,6.4302838846e-04,0.0253580044,12,25,0.2711,0.3687,solved,0
0.0029783616,0.0029783616,6.4305813051e-04,0.0253585909,12,25,0.2394,0.3207,solved,0
0.0029824038,0.0029824038,6.4308839279e-04,0.0253591875,12,25,0.2346,0.3007,solved,0
0.0029864462,0.0029864462,6.4311917683e-04,0.0253597945,12,25,0.2341,0.2975,solved,0
0.0029904886,0.0029904886,6.4315048115e-04,0.0253604117,12,25,0.2372,0.3003,solved,0
0.0029945305,0.0029945305,6.4318230178e-04,0.0253610391,12,25,0.2507,0.3159,solved,0
0.0029985730,0.0029985730,6.4321464739e-04,0.0253616767,12,25,0.2345,0.2995,solved,0
0.0030026151,0.0030026151,6.4324751003e-04,0.0253623246,12,25,0.2319,0.2951,solved,0
0.0030066574,0.0030066574,6.4328089454e-04,0.0253629828,12,25,0.2319,0.2955,solved,0
0.0030106995,0.0030106995,6.4331479761e-04,0.0253636511,12,25,0.2323,0.3000,solved,0
0.0030147419,0.0030147419,6.4334922345e-04,0.0253643297,12,25,0.2319,0.2952,solved,0
0.0030187841,0.0030187841,6.4338416783e-04,0.0253650186,12,25,0.2461,0.3106,solved,0
0.0030228265,0.0030228265,6.4341963420e-04,0.0253657177,12,25,0.2325,0.3094,solved,0
0.0030268685,0.0030268685,6.4345561726e-04,0.0253664270,12,25,0.2370,0.3009,solved,0
0.0030309109,0.0030309109,6.4349212414e-04,0.0253671466,12,25,0.2449,0.3117,solved,0
0.0030349530,0.0030349530,6.4352914852e-04,0.0253678763,12,25,0.2346,0.3043,solved,0
0.0030389953,0.0030389953,6.4356669498e-04,0.0253686163,12,25,0.2879,0.3550,solved,0
0.0030430377,0.0030430377,6.4360476263e-04,0.0253693666,12,25,0.2462,0.3131,solved,0
0.0030470799,0.0030470799,6.4364334864e-04,0.0253701271,12,25,0.2332,0.2990,solved,0
0.0030511220,0.0030511220,6.4368245391e-04,0.0253708978,12,25,0.2348,0.2979,solved,0
0.0030551641,0.0030551641,6.4372207937e-04,0.0253716787,12,25,0.2310,0.2946,solved,0
0.0030592066,0.0030592066,6.4376222903e-04,0.0253724699,12,25,0.2351,0.2985,solved,0
0.0030632488,0.0030632488,6.4380289596e-04,0.0253732713,12,25,0.2360,0.2992,solved,0
0.0030672910,0.0030672910,6.4384408311e-04,0.0253740829,12,25,0.2511,0.3158,solved,0
0.0030713333,0.0030713333,6.4388579153e-04,0.0253749048,12,25,0.2334,0.2976,solved,0
0.0030753754,0.0030753754,6.4392801810e-04,0.0253757368,12,25,0.2339,0.2971,solved,0
0.0030794178,0.0030794178,6.4397076806e-04,0.0253765791,12,25,0.2333,0.2964,solved,0
0.0030834600,0.0030834600,6.4401403614e-04,0.0253774316,12,25,0.2327,0.2965,solved,0
0.0030875023,0.0030875023,6.4405782554e-04,0.0253782944,12,25,0.2336,0.2971,solved,0
0.0030915446,0.0030915446,6.4410213520e-04,0.0253791673,12,25,0.2472,0.3119,solved,0
0.0030955866,0.0030955866,6.4414696175e-04,0.0253800505,12,25,0.2343,0.2998,solved,0
0.0030996292,0.0030996292,6.4419231525e-04,0.0253809439,12,25,0.2350,0.2985,solved,0
0.0031036714,0.0031036714,6.4423818452e-04,0.0253818475,12,25,0.2324,0.2949,solved,0
0.0031077133,0.0031077133,6.4428457055e-04,0.0253827613,12,25,0.2318,0.2950,solved,0
0.0031117557,0.0031117557,6.4433148256e-04,0.0253836854,12,25,0.2349,0.2978,solved,0
0.0031157979,0.0031157979,6.4437891249e-04,0.0253846196,12,25,0.2426,0.3076,solved,0
0.0031198402,0.0031198402,6.4442686384e-04,0.0253855641,12,25,0.2323,0.2968,solved,0
0.0031238825,0.0031238825,6.4447533544e-04,0.0253865188,12,25,0.2329,0.2959,solved,0
0.0031279245,0.0031279245,6.4452432364e-04,0.0253874836,12,25,0.2337,0.2966,solved,0
0.0031319669,0.0031319669,6.4457383694e-04,0.0253884587,12,25,0.2341,0.2966,solved,0
0.0031360091,0.0031360091,6.4462386802e-04,0.0253894440,12,25,0.2335,0.3028,solved,0
0.0031400514,0.0031400514,6.4467442059e-04,0.0253904396,12,25,0.2354,0.3121,solved,0
0.0031440937,0.0031440937,6.4472549341e-04,0.0253914453,12,25,0.2341,0.2989,solved,0
0.0031481359,0.0031481359,6.4477708520e-04,0.0253924612,12,25,0.2342,0.2987,solved,0
0.0031521781,0.0031521781,6.4482919722e-04,0.0253934873,12,25,0.2329,0.2968,solved,0
0.0031562202,0.0031562202,6.4488182815e-04,0.0253945236,12,25,0.2322,0.2959,solved,0
0.0031602626,0.0031602626,6.4493498325e-04,0.0253955702,12,25,0.2309,0.2939,solved,0
0.0031643048,0.0031643048,6.4498865596e-04,0.0253966269,12,25,0.2315,0.2946,solved,0
0.0031683470,0.0031683470,6.4504284889e-04,0.0253976938,12,25,0.2336,0.3170,solved,0
0.0031723893,0.0031723893,6.4509756341e-04,0.0253987709,12,25,0.2331,0.2973,solved,0
0.0031764314,0.0031764314,6.4515279544e-04,0.0253998582,12,25,0.2333,0.2975,solved,0
0.0031804737,0.0031804737,6.4520855043e-04,0.0254009557,12,25,0.2344,0.2976,solved,0
0.0031845160,0.0031845160,6.4526482568e-04,0.0254020634,12,25,0.2345,0.2983,solved,0
0.0031885583,0.0031885583,6.4532162118e-04,0.0254031813,12,25,0.2368,0.3008,solved,0
0.0031926005,0.0031926005,6.4537893551e-04,0.0254043094,12,25,0.2543,0.3209,solved,0
0.0031966427,0.0031966427,6.4543677006e-04,0.0254054476,12,25,0.2344,0.3003,solved,0
0.0032006850,0.0032006850,6.4549512629e-04,0.0254065961,12,25,0.2343,0.2997,solved,0
0.0032047274,0.0032047274,6.4555400424e-04,0.0254077548,12,25,0.2341,0.3000,solved,0
0.0032087693,0.0032087693,6.4561339508e-04,0.0254089235,12,25,0.2325,0.2963,solved,0
0.0032128119,0.0032128119,6.4567331649e-04,0.0254101026,12,25,0.2347,0.2975,solved,0
0.0032168537,0.0032168537,6.4573374622e-04,0.0254112917,12,25,0.2687,0.3386,solved,0
0.0032208963,0.0032208963,6.4579470819e-04,0.0254124912,12,25,0.2333,0.3033,solved,0
0.0032249386,0.0032249386,6.4585618591e-04,0.0254137008,12,25,0.2312,0.2957,solved,0
0.0032289807,0.0032289807,6.4591818079e-04,0.0254149204,12,25,0.2462,0.3167,solved,0
0.0032330232,0.0032330232,6.4598070209e-04,0.0254161504,12,25,0.2358,0.3061,solved,0
0.0032370652,0.0032370652,6.4604373586e-04,0.0254173904,12,25,0.2334,0.2990,solved,0
0.0032411073,0.0032411073,6.4610729139e-04,0.0254186406,12,25,0.2533,0.3271,solved,0
0.0032451498,0.0032451498,6.4617137348e-04,0.0254199011,12,25,0.2353,0.3002,solved,0
0.0032491919,0.0032491919,6.4623596946e-04,0.0254211717,12,25,0.2331,0.3004,solved,0
0.0032532341,0.0032532341,6.4630108725e-04,0.0254224524,12,25,0.2333,0.2966,solved,0
0.0032572764,0.0032572764,6.4636672691e-04,0.0254237434,12,25,0.2333,0.2982,solved,0
0.0032613187,0.0032613187,6.4643288681e-04,0.0254250445,12,25,0.2346,0.2980,solved,0
0.0032653610,0.0032653610,6.4649956696e-04,0.0254263558,12,25,0.2465,0.3162,solved,0
0.0032694031,0.0032694031,6.4656676403e-04,0.0254276771,12,25,0.2333,0.2996,solved,0
0.0032734453,0.0032734453,6.4663448298e-04,0.0254290087,12,25,0.2322,0.3011,solved,0
0.0032774875,0.0032774875,6.4670272216e-04,0.0254303504,12,25,0.2330,0.2971,solved,0
0.0032815298,0.0032815298,6.4677148327e-04,0.0254317023,12,25,0.2317,0.2951,solved,0
0.0032855720,0.0032855720,6.4684076291e-04,0.0254330644,12,25,0.2347,0.2982,solved,0
0.0032896143,0.0032896143,6.4691056451e-04,0.0254344366,12,25,0.2473,0.3129,solved,0
0.0032936565,0.0032936565,6.4698088462e-04,0.0254358189,12,25,0.2342,0.2983,solved,0
