instancia,n,tipo,optimo,t_candidatos,nn_longitud,nn_gap_%,nn_tiempo_s,greedy_longitud,greedy_gap_%,greedy_tiempo_s
a280,280,EUC_2D,2579,0.001,3370,30.67,0.0,3089,19.78,0.022
ali535,535,GEO,,0.001,253127,,0.001,237817,,0.117
att48,48,ATT,10628,0.0,12861,21.01,0.0,12727,19.75,0.001
att532,532,ATT,,0.001,35706,,0.001,34002,,0.102
bayg29,29,EXPLICIT,1610,0.0,2005,24.53,0.0,1974,22.61,0.0
bays29,29,EXPLICIT,2020,0.0,2258,11.78,0.0,2480,22.77,0.0
berlin52,52,EUC_2D,7542,0.0,8980,19.07,0.0,9951,31.94,0.001
bier127,127,EUC_2D,,0.0,135777,,0.0,141339,,0.004
brazil58,58,EXPLICIT,,0.0,30774,,0.0,30458,,0.001
brd14051,14051,EUC_2D,,0.023,578473,,0.059,539417,,0.051
brg180,180,EXPLICIT,1950,0.001,12360,533.85,0.0,37830,1840.0,0.004
burma14,14,GEO,,0.0,4048,,0.0,3889,,0.0
ch130,130,EUC_2D,6110,0.0,7578,24.03,0.0,7223,18.22,0.004
ch150,150,EUC_2D,6528,0.0,8191,25.47,0.0,7809,19.62,0.005
d1291,1291,EUC_2D,,0.002,60288,,0.001,61253,,0.746
d15112,15112,EUC_2D,,0.03,1964952,,0.076,1818233,,0.07
d1655,1655,EUC_2D,,0.003,77164,,0.002,72502,,1.43
d18512,18512,EUC_2D,,0.035,794843,,0.102,740722,,0.078
d198,198,EUC_2D,,0.0,18518,,0.0,19147,,0.009
d2103,2103,EUC_2D,,0.004,91347,,0.002,95124,,2.724
d493,493,EUC_2D,,0.001,45093,,0.001,41361,,0.088
d657,657,EUC_2D,,0.001,62176,,0.001,56612,,0.163
dantzig42,42,EXPLICIT,,0.0,956,,0.0,1003,,0.0
dsj1000,1000,CEIL_2D,,0.002,24631468,,0.002,21706226,,0.425
eil101,101,EUC_2D,629,0.0,797,26.71,0.0,783,24.48,0.003
eil51,51,EUC_2D,426,0.0,511,19.95,0.0,531,24.65,0.001
eil76,76,EUC_2D,538,0.0,664,23.42,0.0,585,8.74,0.001
fl1400,1400,EUC_2D,,0.002,27320,,0.003,24709,,0.827
fl1577,1577,EUC_2D,,0.002,29438,,0.002,25221,,1.035
fl3795,3795,EUC_2D,,0.006,34807,,0.005,33992,,0.011
fl417,417,EUC_2D,,0.001,15112,,0.001,12931,,0.049
fnl4461,4461,EUC_2D,,0.008,230111,,0.01,212155,,0.015
fri26,26,EXPLICIT,937,0.0,1106,18.04,0.0,988,5.44,0.0
gil262,262,EUC_2D,,0.001,3017,,0.0,2739,,0.018
gr120,120,EXPLICIT,6942,0.0,9021,29.95,0.0,8241,18.71,0.002
gr137,137,GEO,,0.0,93912,,0.0,79460,,0.005
gr17,17,EXPLICIT,,0.0,2187,,0.0,2189,,0.0
gr202,202,GEO,40160,0.0,49336,22.85,0.001,45926,14.36,0.011
gr21,21,EXPLICIT,,0.0,3333,,0.0,3028,,0.0
gr229,229,GEO,,0.001,162430,,0.0,163730,,0.014
gr24,24,EXPLICIT,1272,0.0,1553,22.09,0.0,1602,25.94,0.0
gr431,431,GEO,,0.001,208730,,0.001,204581,,0.061
gr48,48,EXPLICIT,5046,0.0,6098,20.85,0.0,6406,26.95,0.001
gr666,666,GEO,294358,0.001,366536,24.52,0.002,339319,15.27,0.176
gr96,96,GEO,55209,0.0,71825,30.1,0.0,62773,13.7,0.002
hk48,48,EXPLICIT,,0.0,13181,,0.0,13402,,0.001
