instance,family,nodes,capacity,seq_routes,seq_cost,paper_cws,bks,par_routes,par_cost,par_time_ms,gap_seq_paper_cws_%,gap_par_paper_cws_%,gap_par_bks_%,improvement_par_vs_seq_%
A-n32-k5,A,32,100,5,907.11,843.69,787.81,5,843.69,1.23,7.52,-0.0,7.09,6.99
A-n38-k5,A,38,100,5,834.26,768.14,734.18,6,768.13,1.61,8.61,-0.0,4.62,7.93
A-n45-k7,A,45,100,7,1251.38,1199.98,1147.28,7,1199.98,2.2,4.28,-0.0,4.59,4.11
A-n55-k9,A,55,100,9,1290.89,1099.84,1074.46,9,1099.84,3.12,17.37,-0.0,2.36,14.8
A-n60-k9,A,60,100,9,1572.97,1421.88,1355.8,9,1421.88,3.66,10.63,0.0,4.87,9.61
A-n61-k9,A,61,100,9,1188.96,1102.23,1039.08,10,1102.23,3.95,7.87,-0.0,6.08,7.3
A-n65-k9,A,65,100,9,1479.4,1239.42,1181.69,10,1239.42,4.25,19.36,0.0,4.89,16.22
A-n80-k10,A,80,100,10,1956.41,1860.94,1766.5,10,1860.94,6.23,5.13,0.0,5.35,4.88
B-n50-k7,B,50,100,7,849.34,748.8,744.78,7,748.8,2.59,13.43,0.0,0.54,11.84
B-n52-k7,B,52,100,7,839.92,764.9,750.08,7,764.9,2.72,9.81,-0.0,1.98,8.93
B-n57-k9,B,57,100,9,1769.42,1653.42,1603.63,9,1653.42,3.37,7.02,0.0,3.11,6.56
B-n78-k10,B,78,100,10,1401.39,1264.56,1229.27,10,1264.56,5.96,10.82,-0.0,2.87,9.76
E-n22-k4,E,22,6000,4,448.9,388.77,375.28,4,388.77,0.7,15.47,0.0,3.6,13.39
E-n30-k3,E,30,4500,3,611.05,534.45,535.8,4,534.45,1.03,14.33,-0.0,-0.25,12.54
E-n33-k4,E,33,8000,4,913.12,843.1,838.72,4,843.1,1.28,8.31,-0.0,0.52,7.67
E-n51-k5,E,51,160,5,625.56,584.64,524.94,6,584.64,2.63,7.0,-0.0,11.37,6.54
E-n76-k7,E,76,220,7,862.67,737.74,687.6,7,738.13,5.49,16.93,0.05,7.35,14.44
E-n76-k10,E,76,140,10,1005.25,900.26,837.36,10,907.39,5.64,11.66,0.79,8.36,9.73
E-n76-k14,E,76,100,15,1161.29,1073.43,1026.71,15,1054.6,6.01,8.18,-1.75,2.72,9.19
F-n45-k4,F,45,2010,4,1003.09,739.02,724.57,4,739.02,2.08,35.73,-0.0,1.99,26.33
F-n72-k4,F,72,30000,5,346.47,256.19,248.81,5,256.19,4.6,35.24,-0.0,2.96,26.06
F-n135-k7,F,135,2210,7,1423.0,1219.32,1170.65,7,1219.32,15.95,16.7,0.0,4.16,14.31
M-n101-k10,M,101,200,10,939.99,833.51,819.81,10,833.51,9.38,12.78,-0.0,1.67,11.33
M-n121-k7,M,121,200,7,1291.33,1068.14,1045.16,7,1068.14,12.7,20.9,0.0,2.2,17.28
P-n22-k8,P,22,3000,9,625.91,590.62,601.42,9,590.62,0.77,5.97,0.0,-1.8,5.64
P-n40-k5,P,40,140,5,516.42,518.37,461.73,5,518.37,1.81,-0.38,0.0,12.27,-0.38
P-n50-k10,P,50,100,10,740.57,734.32,699.56,11,739.84,2.74,0.85,0.75,5.76,0.1
P-n55-k15,P,55,70,16,1036.48,978.07,991.48,17,978.07,3.56,5.97,-0.0,-1.35,5.64
P-n65-k10,P,65,130,10,938.51,851.67,796.67,10,851.67,4.33,10.2,-0.0,6.9,9.25
P-n70-k10,P,70,135,10,957.87,896.86,830.02,11,896.86,4.86,6.8,0.0,8.05,6.37
P-n76-k4,P,76,350,4,724.08,689.13,598.22,4,688.34,5.15,5.07,-0.11,15.07,4.94
P-n76-k5,P,76,280,5,793.37,698.51,635.04,5,709.38,5.28,13.58,1.56,11.71,10.59
P-n101-k4,P,101,400,4,843.7,765.38,692.28,4,765.38,8.72,10.23,-0.0,10.56,9.28
