instance,family,nodes,capacity,routes,cost,time_ms,paper_cws,gap_paper_cws_%,bks,gap_bks_%
A-n32-k5,A,32,100,5,907.11,3.93,843.69,7.52,787.81,15.14
A-n38-k5,A,38,100,5,834.26,3.92,768.14,8.61,734.18,13.63
A-n45-k7,A,45,100,7,1251.38,6.57,1199.98,4.28,1147.28,9.07
A-n55-k9,A,55,100,9,1290.89,10.88,1099.84,17.37,1074.46,20.14
A-n60-k9,A,60,100,9,1572.97,14.8,1421.88,10.63,1355.8,16.02
A-n61-k9,A,61,100,9,1188.96,12.9,1102.23,7.87,1039.08,14.42
A-n65-k9,A,65,100,9,1479.4,14.08,1239.42,19.36,1181.69,25.19
A-n80-k10,A,80,100,10,1956.41,19.65,1860.94,5.13,1766.5,10.75
B-n50-k7,B,50,100,7,849.34,7.72,748.8,13.43,744.78,14.04
B-n52-k7,B,52,100,7,839.92,7.19,764.9,9.81,750.08,11.98
B-n57-k9,B,57,100,9,1769.42,11.08,1653.42,7.02,1603.63,10.34
B-n78-k10,B,78,100,10,1401.39,21.11,1264.56,10.82,1229.27,14.0
E-n22-k4,E,22,6000,4,448.9,1.3,388.77,15.47,375.28,19.62
E-n30-k3,E,30,4500,3,611.05,2.15,534.45,14.33,535.8,14.04
E-n33-k4,E,33,8000,4,913.12,2.63,843.1,8.31,838.72,8.87
E-n51-k5,E,51,160,5,625.56,6.8,584.64,7.0,524.94,19.17
E-n76-k7,E,76,220,7,862.67,17.28,737.74,16.93,687.6,25.46
E-n76-k10,E,76,140,10,1005.25,20.65,900.26,11.66,837.36,20.05
E-n76-k14,E,76,100,15,1161.29,25.33,1073.43,8.18,1026.71,13.11
F-n45-k4,F,45,2010,4,1003.09,5.49,739.02,35.73,724.57,38.44
F-n72-k4,F,72,30000,5,346.47,12.91,256.19,35.24,248.81,39.25
F-n135-k7,F,135,2210,7,1423.0,80.73,1219.32,16.7,1170.65,21.56
M-n101-k10,M,101,200,10,939.99,35.97,833.51,12.78,819.81,14.66
M-n121-k7,M,121,200,7,1291.33,42.16,1068.14,20.9,1045.16,23.55
P-n22-k8,P,22,3000,9,625.91,1.57,590.62,5.97,601.42,4.07
P-n40-k5,P,40,140,5,516.42,3.91,518.37,-0.38,461.73,11.84
P-n50-k10,P,50,100,10,740.57,8.64,734.32,0.85,699.56,5.86
P-n55-k15,P,55,70,16,1036.48,13.8,978.07,5.97,991.48,4.54
P-n65-k10,P,65,130,10,938.51,14.4,851.67,10.2,796.67,17.8
P-n70-k10,P,70,135,10,957.87,16.85,896.86,6.8,830.02,15.4
P-n76-k4,P,76,350,4,724.08,12.66,689.13,5.07,598.22,21.04
P-n76-k5,P,76,280,5,793.37,14.1,698.51,13.58,635.04,24.93
P-n101-k4,P,101,400,4,843.7,23.58,765.38,10.23,692.28,21.87
